"id","started_at","finished_at","status","schema_name","name","target_schema_name","target_name","mode","source_type","source_runtime","target_type","target_runtime","strategy_type","strategy_reference_column","strategy_lookback_periods","partition_type","partition_reference_column","rows_processed","duration_seconds"
1,"2026-08-22 00:41:33.10696","2026-08-22 00:41:35.391183","success","public","actor","raw","pagila_actor","full_load","postgresql","pagila_postgres_database","local","development_storage",NULL,NULL,NULL,NULL,NULL,"200","2.28"
2,"2026-08-22 00:41:38.65896","2026-08-22 00:41:56.405908","success","public","comments","raw","stackoverflow_comments","full_load","postgresql","stackoverflow_postgres_database","local","development_storage",NULL,NULL,NULL,NULL,NULL,"3353493","17.75"
3,"2026-08-22 00:41:59.970913","2026-08-22 00:42:16.044848","success","public","votes","raw","stackoverflow_votes","full_load","postgresql","stackoverflow_postgres_database","local","development_storage",NULL,NULL,NULL,"year","creationdate","9463619","16.07"
4,"2026-08-22 00:42:19.377422","2026-08-22 00:43:20.603336","success","public","posts","raw","stackoverflow_posts","full_load","postgresql","stackoverflow_postgres_database","local","development_storage",NULL,NULL,NULL,NULL,NULL,"3680688","61.23"
5,"2026-08-22 00:43:24.026146","2026-08-22 00:43:55.77161","success","dbo","Comments","raw","sqlserver_comments","full_load","sqlserver","stackoverflow_sql_server_database","local","development_storage",NULL,NULL,NULL,NULL,NULL,"3875183","31.75"
6,"2026-08-22 00:43:59.123948","2026-08-22 00:44:40.401684","success","dbo","Votes","raw","sqlserver_votes","full_load","sqlserver","stackoverflow_sql_server_database","local","development_storage",NULL,NULL,NULL,"year","CreationDate","10143364","41.28"
7,"2026-08-22 00:44:44.052683","2026-08-22 00:46:40.082929","success","dbo","Posts","raw","sqlserver_posts","full_load","sqlserver","stackoverflow_sql_server_database","local","development_storage",NULL,NULL,NULL,NULL,NULL,"3729195","116.03"
8,"2026-08-22 00:46:43.55809","2026-08-22 00:47:03.969614","success","public","comments","raw","stackoverflow_comments","incremental","postgresql","stackoverflow_postgres_database","local","development_storage","replace","creationdate",19,"year","creationdate","3353493","20.41"
9,"2026-08-22 00:47:07.428108","2026-08-22 00:47:47.178376","success","public","posts","raw","stackoverflow_posts","incremental","postgresql","stackoverflow_postgres_database","local","development_storage","replace","creationdate",17,"year","creationdate","2144900","39.75"
10,"2026-08-22 00:47:50.612545","2026-08-22 00:48:25.001541","success","dbo","Comments","raw","sqlserver_comments","incremental","sqlserver","stackoverflow_sql_server_database","local","development_storage","replace","CreationDate",19,"year","CreationDate","3875183","34.39"
11,"2026-08-22 00:48:28.420595","2026-08-22 00:48:37.141689","success","public","posts","raw","stackoverflow_posts_append","incremental","postgresql","stackoverflow_postgres_database","local","development_storage","append","creationdate",NULL,NULL,NULL,"0","8.72"
12,"2026-08-22 00:48:40.64753","2026-08-22 00:48:47.300949","success","dbo","test_watermark","raw","sqlserver_test_watermark_append","incremental","sqlserver","stackoverflow_sql_server_database","local","development_storage","append","last_update",NULL,NULL,NULL,"14","6.65"
